# Progression simulation
# runs=20551 seed=12345 moveCap=1000 manualProxy=Rand stopAtPpo=False simulateResearch=True targetPrestiges=15 ppoNormalRunsPerPrestige=2000
# finalChips=900000 totalEarned=900000 prestiges=15 insight=144743 cycleInsight=0 lifetimeInsight=882623
# Purchases:
Run	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
9	Solver RAND	1000	chips	5	1005
20	Auto Solve	1200	chips	33	2233
46	Solver MERG	3000	chips	34	5234
54	Chip Yield	4000	chips	195	9395
61	Solver BAL	6000	chips	35	15235
69	Speed L1	6000	chips	688	21888
79	Auto Restart	8000	chips	591	29791
92	Stack Cap L1	12000	chips	49	41249
109	Solver STALL	18000	chips	501	59701
146	Solver HEUR	30000	chips	731	89931
172	Solver Tuning	30000	chips	90	119290
198	Speed L2	30000	chips	304	149504
237	Queue Preview	40000	chips	921	190121
269	Chip Yield	40000	chips	540	229740
314	Difficulty L1	60000	chips	13	289213
383	Stack Cap L2	70000	chips	925	360125
447	Solver LOOK	80000	chips	383	439583
510	Agents Menu	120000	chips	2151	561351
516	Agent Merge Broker	60000	chips	5703	624903
527	Agent Highwater Analyst	120000	chips	11563	750763
535	Solver PLAN-3	130000	chips	3566	872766
544	Speed L3	150000	chips	2723	1021923
553	Solver COMBO	180000	chips	1970	1201170
572	Solver MOCA	220000	chips	3527	1422727
587	Agent Score Auditor	220000	chips	18913	1658113
611	Chip Yield	350000	chips	8591	1997791
635	Solver PLAN-5	400000	chips	7758	2396958
658	Stack Cap L3	400000	chips	10596	2799796
677	Queue Preview	400000	chips	14908	3204108
695	Agent Overclocker	400000	chips	8650	3597850
720	Difficulty L2	600000	chips	31062	4220262
752	Agent Quartermaster	650000	chips	6682	4845882
792	Speed L4	800000	chips	5231	5644431
834	Solver MOCA+	900000	chips	2547	6541747
883	Agent Restart Sponsor	1000000	chips	28457	7567657
952	Extra Agent Slot	1500000	chips	27956	9067156
1024	Agent Token Prospector	1500000	chips	16446	10555646
1110	Solver MCTS	1800000	chips	11012	12350212
1216	Stack Cap L4	2200000	chips	28771	14567971
1305	Agent Move Dividend	2200000	chips	2641	16741841
1406	Chip Yield	2500000	chips	10684	19249884
1509	Agent Velocity Trader	3000000	chips	22876	22262076
1651	Speed L5	4000000	chips	9840	26249040
1859	Difficulty L3	6000000	chips	5592	32244792
1963	Modifiers Menu	3000000	chips	2172	35241372
1970	Modifier Unstable Stack L1	800000	chips	71069	36110269
1981	Modifier Unstable Stack L2	1600000	chips	221192	37860392
1991	Modifier Queue Scrubber L1	1800000	chips	55056	39494256
2003	Modifier Miner's Pickaxe L1	2000000	chips	42753	41481953
2021	Modifier Catalyst Stack L1	3000000	chips	66603	44505803
2031	Modifier Mirror Stack L1	3000000	chips	283141	47722341
2037	Modifier Unstable Stack L3	3200000	chips	154397	50793597
2044	Modifier Queue Scrubber L2	3600000	chips	949193	55188393
2051	Modifier Miner's Pickaxe L2	4000000	chips	277451	58516651
2057	Modifier Joker L1	4500000	chips	240358	62979558
2062	Modifier Neural Accelerator L1	6000000	chips	1969346	70708546
2068	Modifier Unstable Stack L4	6400000	chips	14805	75154005
2078	Modifier Queue Scrubber L3	7200000	chips	53859	82393059
2085	Modifier Miner's Pickaxe L3	8000000	chips	4440394	94779594
2092	Stack Cap L5	11000000	chips	695345	102034545
2105	Modifier Unstable Stack L5	12800000	chips	422413	114561613
2117	Modifier Queue Scrubber L4	14400000	chips	1200803	129740003
